#GENERATED_BY	cgatools
#GENERATED_AT	2011-Sep-25 11:57:28.488765
#SOFTWARE_VERSION	2.0.0.32
#FORMAT_VERSION	2.0
#TYPE	SV-EVENTS

>EventId	Type	RelatedJunctionIds	MatePairCounts	FrequenciesInBaselineGenomeSet	OriginRegionChr	OriginRegionBegin	OriginRegionEnd	OriginRegionLength	OriginRegionStrand	DestinationRegionChr	DestinationRegionBegin	DestinationRegionEnd	DestinationRegionLength	DestinationRegionStrand	DisruptedGenes	ContainedGenes	GeneFusions	RelatedMobileElement	MobileElementChr	MobileElementBegin	MobileElementEnd	MobileElementStrand
1	complex	1;2;4;8;14;175;319;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;402;404;527;553;554;555;556;557;558;559;560;561;562;563;564;565;566;568;569;570;571;572;573;574;576;578;579;580;581;582;584;587;588;589;590;591;592;593;594;595;596;597;598;599;600;1528;1531;1573;1574;1575;1576;1577;1578;1579;1763;1766;1793;1808;1810;1811;1857;2311;2312;2325;2468;2469;2470;2518;2519;2520;2521;2522;2523;2524;2525;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;2548;2549;2550;2551;2552;2553;2554;2555;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2566;2567;2568;2569;2570;2571;2572;2702;2703;2704;2705;2706;2859;2860;3385;3386;3387;3388;3455;3456;3457;3769;4233;4234;4612;4648;4649;4650;4651;4652;4653;4654;4655;4656;4657;4658;4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675;4676;4677;4678;4679;4680;4681;4682;4683;4684;4685;4686;4687;4688;4689;4690;4691;4692;4693;4694;4695;4696;4697;4736;4762;4763;4765;4766;4767;4990;4991;4992;4994;4995;4998;5000;5001;5002;5003;5006;5028;5029;5030;5031;5033;5034;5035;5036;5067;5177;6402;6403;6404;6405;6413;6429;6430;7463;7464;7568;7569;7720;7721;7722;7774;7775;7776;7777;7778;7779;7780;7781;7782;7783;7784;7785;7786;7920;7921;7922;7923;7924;7925;7926;7927;7928;7930;7931;7932;7933;7934;7935;7936;7937;7938;7939;7940;7941;7942;7943;7944;7945;7946;7947;7948;7949;7950;7951;7953;8112;8859;8860;8930;8931;8932;8933;8934;8935;8936;8937;9178;9179;9180;9181;9183;9211;9212	22;14;5;6;5;54;3;135;7;5;4;3;70;25;21;19;11;7;6;4;4;3;22;6;3;218;207;153;134;112;83;71;51;55;45;26;31;29;48;63;15;16;22;16;13;13;12;13;7;9;10;7;6;5;10;66;14;4;4;6;3;3;8;3;4;6;15;4;3;14;8;6;3;3;22;29;10;3;4;4;4;12;6;27;19;3;13;3;3;2359;1297;672;195;328;200;132;160;103;95;101;103;175;87;66;325;51;63;26;39;36;34;31;28;37;23;44;20;17;17;35;10;25;10;65;10;13;11;8;9;60;113;14;6;9;8;6;213;16;6;4;5;4;4;25;4;18;9;3;3;3;6;21;7;7;4;34;19;19;4;90;4;3;190;109;121;67;62;83;82;74;52;46;62;156;56;20;33;32;30;24;31;13;18;16;12;16;19;23;7;7;10;8;18;25;18;4;7;15;24;4;19;3;3;3;3;48;3;22;4;3;22;19;3;3;5;11;7;5;5;4;55;9;9;141;58;34;23;11;5;7;4;4;34;7;4;4;12;4;3;4;9;8;3;3;22;3;3;3;37;3;3;3;4;6;61;19;9;11;5;7;5;3;3;3;8;11;155;107;106;30;29;36;24;14;19;43;12;13;9;31;9;9;14;6;5;5;5;5;5;4;5;5;6;4;3;3;4;4;3;11;6;6;9;3;41;24;17;3;7;475;76;58;43;13;7;3	0.00;0.00;0.00;0.67;0.00;0.63;0.02;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.46;0.46;0.00;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.13;0.13;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.88;0.88;0.10;0.19;0.21;0.21;0.00;0.29;0.29;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.44;0.44;0.44;0.44;0.00;0.10;0.98;0.98;0.98;0.98;0.48;0.48;0.48;0.00;0.92;0.02;0.00;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.19;0.12;0.12;0.00;0.19;0.00;0.42;0.42;0.42;0.42;0.42;0.67;0.67;0.67;0.67;0.67;0.67;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.00;0.00;0.10;0.10;0.10;0.10;0.00;0.42;0.10;0.00;0.00;0.63;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.00;0.31;0.31;0.48;0.31;0.48;0.48;0.48;0.48;0.48;0.48;1.00;1.00;1.00;0.60;0.44;0.10;0.08											CCND2;DUX4C;FGF18;LOC100287484;LOC100287647;LOC100288801;LOC100289581;LOC727758		TSS-UPSTREAM[LOC727758]/LOC440017;TSS-UPSTREAM[LOC727758]/LOC728022;TSS-UPSTREAM[LOC727758]/ZNF107					
2	complex	15;1773;3696	17;24;6	0.40;0.40;0.27																		
3	distal-duplication	18;3700	39;20	0.54;0.52	chrX	131394197	131394268	71	-	chrX	131393585	131393591	6	+								
4	complex	33;7444	3;84	0.00;0.00																		
5	probable-inversion	42	26	0.00	chrX	27206791	93324204	66117413	-													
6	complex	45;4251;7449	11;17;4	0.48;0.48;0.48																		
7	inversion	50;7451	4;12	0.00;0.60	chrX	69446702	69446753	51	-	chrX	69446670	69446944	274	+								
8	complex	68;69;474;790;3771;4235;4829;4875;6462;6525;7860;8967;8968;8969	13;7;175;7;3;63;86;56;28;51;13;52;12;3	1.00;1.00;1.00;0.12;0.63;1.00;1.00;0.19;0.46;1.00;0.98;0.88;0.88;0.00											PARN;STAG1		PARN/STAG1					
9	complex	91;7486	3;84	0.08;0.69											NLGN4X							
10	inversion	114;7515	377;200	1.00;1.00	chr21	27374158	27374700	542	-	chr21	27374157	27374700	543	+	APP							
